"Concept Id","Name","Description","Synonyms","Answers","Set Members","Class","Datatype","Changed By","Creator"
44,"Treatment Plan Notes","The doctor's treatment plan for the patient's complaint.","Treatment Plan Notes",,"Acute Ear Infection Notes
Acute Tonsillopharyngitis Notes
Anemia or Very Low Weight Notes
Bronchial Asthma Notes
Chronic Ear Infection Notes
Community Acquired Pneumonia I Notes
Congestive Heart Failure Notes
Diabetes Notes
Dysentery Notes
Fever- Dengue Hemorrhagic Fever Unlikely Notes
Hypersensitivity Reaction Notes
Mastoiditis Notes
Measles with eye or mouth complications Notes
Measles Notes
Mouth Ulcers Notes
No Dehydration Notes
No Pneumonia- Cough or Cold Notes
Persistent Diarrhea Notes
Pharmacologic Tx Notes
Severe Complicated Measles Notes
Severe Dehydration Notes
Severe Dengue Hemorrhagic Fever Notes
Severe Pneumonia:Very Severe Disease Notes
Some Dehydration Notes
Very Severe Febrile Disease:Malaria Notes","ConvSet","N/A",,"Super User"
45,"Notes Number","A number assigned to this patient for this encounter that represents the 'Notes Number'.","Notes Number
Notes #",,,"Anatomy","Numeric","Super User","Super User"
46,"Abdominal and Pelvic Pain","Abdominal and Pelvic Pain","Abdominal and Pelvic Pain
R10",,,"Symptom/Finding","N/A",,"Super User"
47,"Acute Abdomen","Acute Abdomen","R10.0
Acute Abdomen",,,"Symptom/Finding","N/A",,"Super User"
48,"Pain Localized to upper abdomen","Pain Localized to upper abdomen","Pain Localized to upper abdomen
R10.1",,,"Symptom/Finding","N/A",,"Super User"
49,"Pelvic and perineal pain","Pelvic and perineal pain","Pelvic and perineal pain
R10.2",,,"Symptom/Finding","N/A",,"Super User"
50,"Pain localized to other parts of lower abdomen","Pain localized to other parts of lower abdomen","R10.3
Pain localized to other parts of lower abdomen",,,"Symptom/Finding","N/A",,"Super User"
51,"Other and unspecified abdominal pain","Other and unspecified abdominal pain","Other and unspecified abdominal pain
R10.4",,,"Symptom/Finding","N/A",,"Super User"
52,"Nausea and vomiting","Nausea and vomiting","R11
Nausea and vomiting",,,"Symptom/Finding","N/A",,"Super User"
53,"Heartburn","Heartburn","Heartburn
R12",,,"Symptom/Finding","N/A",,"Super User"
54,"dysphagia","answer; difficulty swallowing","hirap sa paglunok
R13
dysphagia","no
yes",,"Misc","Boolean","Super User","Super User"
55,"Flatulence and related conditions","Flatulence and related conditions","Flatulence and related conditions
R14",,,"Symptom/Finding","N/A",,"Super User"
56,"Faecal incontinence","Faecal incontinence","R15
Faecal incontinence",,,"Symptom/Finding","N/A",,"Super User"
57,"Unspecified jaundice","Unspecified jaundice","R17
Unspecified jaundice",,,"Symptom/Finding","N/A",,"Super User"
58,"Ascites","Ascites","R18
Ascites",,,"Symptom/Finding","N/A",,"Super User"
59,"Other skin changes","Other skin changes","R13
Other skin changes",,,"Symptom/Finding","N/A",,"Super User"
60,"Cyanosis","Cyanosis","Cyanosis
R23.0",,,"Symptom/Finding","N/A",,"Super User"
61,"Pallor","Pallor","Pallor
R23.1",,,"Symptom/Finding","N/A",,"Super User"
62,"Flushing","Flushing","Flushing
R23.2",,,"Symptom/Finding","N/A",,"Super User"
63,"Spontaneous ecchymoses","Spontaneous ecchymoses","R23.3
Spontaneous ecchymoses",,,"Symptom/Finding","N/A",,"Super User"
64,"Changes in skin texture","Changes in skin texture","R23.4
Changes in skin texture",,,"Symptom/Finding","N/A",,"Super User"
65,"Other and unspecified skin changes","Other and unspecified skin changes","Other and unspecified skin changes
R23.8",,,"Symptom/Finding","N/A",,"Super User"
66,"Fever of other and unknown origin","Fever of other and unknown origin","Fever of other and unknown origin
R50",,,"Symptom/Finding","N/A",,"Super User"
67,"Drug-induced fever","Drug-induced fever","R50.2
Drug-induced fever",,,"Symptom/Finding","N/A",,"Super User"
68,"Other specified fever","Other specified fever","R50.8
Other specified fever",,,"Symptom/Finding","N/A",,"Super User"
69,"Fever, unspecified","Fever, unspecified","Fever, unspecified
R50.9",,,"Symptom/Finding","N/A",,"Super User"
70,"Headache","Headache","R51
Headache",,,"Symptom/Finding","N/A",,"Super User"
71,"Pain, not elsewhere classified","Pain, not elsewhere classified","R52
Pain, not elsewhere classified",,,"Symptom/Finding","N/A",,"Super User"
72,"Acute pain","Acute pain","R52.0
Acute pain",,,"Symptom/Finding","N/A",,"Super User"
73,"Chronic intractable pain","Chronic intractable pain","Chronic intractable pain
R52.1",,,"Symptom/Finding","N/A",,"Super User"
74,"Other chronic pain","Other chronic pain","Other chronic pain
R52.2",,,"Symptom/Finding","N/A",,"Super User"
84,"Diagnosis","data set containing concepts involving diagnosis","Diagnosis",,,"ConvSet","N/A","Super User","Super User"
85,"Angina","Angina","120
Angina",,,"Symptom/Finding","N/A",,"Super User"
86,"Unstable angina","Unstable angina","120.0
Unstable angina",,,"Symptom/Finding","N/A",,"Super User"
87,"Angina pectoris with documented spasm","Angina pectoris with documented spasm","120.1
Angina pectoris with documented spasm",,,"Symptom/Finding","N/A",,"Super User"
88,"other forms of angina pectoris","other forms of angina pectoris","other forms of angina pectoris
120.8",,,"Symptom/Finding","N/A",,"Super User"
89,"Angina pectoris, unspecified","Angina pectoris, unspecified","120.9
Angina pectoris, unspecified",,,"Symptom/Finding","N/A",,"Super User"
90,"Acute myocardial infarction","Acute myocardial infarction","Acute myocardial infarction
121",,,"Symptom/Finding","N/A",,"Super User"
91,"Acute transmural myocardial infarction of anterior wall","Acute transmural myocardial infarction of anterior wall","Acute transmural myocardial infarction of anterior wall
121.0",,,"Symptom/Finding","N/A",,"Super User"
92,"Acute transmural myocardial infarction of inferior wall","Acute transmural myocardial infarction of inferior wall","Acute transmural myocardial infarction of inferior wall
121.1",,,"Symptom/Finding","N/A",,"Super User"
93,"Acute transmural myocardial infarction of other site","Acute transmural myocardial infarction of other site","Acute transmural myocardial infarction of other site
121.2",,,"Symptom/Finding","N/A",,"Super User"
94,"Acute transmural myocardial infarction of unspecified site","Acute transmural myocardial infarction of unspecified site","121.3
Acute transmural myocardial infarction of unspecified site",,,"Symptom/Finding","N/A",,"Super User"
95,"Acute subendocardial myocardial infarction","Acute subendocardial myocardial infarction","121.4
Acute subendocardial myocardial infarction",,,"Symptom/Finding","N/A",,"Super User"
96,"Acute myocardial infarction, unspecified","Acute myocardial infarction, unspecified","121.9
Acute myocardial infarction, unspecified",,,"Symptom/Finding","N/A",,"Super User"
97,"Susequent myocardial infarction","Susequent myocardial infarction","Susequent myocardial infarction
122",,,"Symptom/Finding","N/A",,"Super User"
98,"Subsequent myocardial infarction of anterior wall","Subsequent myocardial infarction of anterior wall","122.0
Subsequent myocardial infarction of anterior wall",,,"Symptom/Finding","N/A",,"Super User"
99,"Subsequent myocardial infarction of inferior wall","Subsequent myocardial infarction of inferior wall","122.1
Subsequent myocardial infarction of inferior wall",,,"Symptom/Finding","N/A",,"Super User"
100,"Subsequent myocardial infarction of other site","Subsequent myocardial infarction of other site","122.8
Subsequent myocardial infarction of other site",,,"Symptom/Finding","N/A",,"Super User"
101,"Subsequent myocardial infarction of unspecified site","Subsequent myocardial infarction of unspecified site","Subsequent myocardial infarction of unspecified site
122.9",,,"Symptom/Finding","N/A",,"Super User"
102,"Pulmonary embolism","Pulmonary embolism","126
Pulmonary embolism",,,"Symptom/Finding","N/A",,"Super User"
103,"Pulmonary embolism with mention of acute cor pulmonale","Pulmonary embolism with mention of acute cor pulmonale","126.0
Pulmonary embolism with mention of acute cor pulmonale",,,"Symptom/Finding","N/A",,"Super User"
104,"Pulmonary embolism without mention of acute cor pulmonale","Pulmonary embolism without mention of acute cor pulmonale","126.9
Pulmonary embolism without mention of acute cor pulmonale",,,"Symptom/Finding","N/A",,"Super User"
105,"Other pulmonary heart diseases","Other pulmonary heart diseases","127
Other pulmonary heart diseases",,,"Symptom/Finding","N/A",,"Super User"
106,"Primary pulmonary hypertension","Primary pulmonary hypertension","Primary pulmonary hypertension
127.0",,,"Symptom/Finding","N/A",,"Super User"
107,"Kyphoscoliotic heart disease","Kyphoscoliotic heart disease","Kyphoscoliotic heart disease
127.1",,,"Symptom/Finding","N/A",,"Super User"
108,"Other secondary pulmonary hypertension","Other secondary pulmonary hypertension","127.2
Other secondary pulmonary hypertension",,,"Symptom/Finding","N/A",,"Super User"
109,"Other specified pulmonary diseases","Other specified pulmonary diseases","Other specified pulmonary diseases
127.8",,,"Symptom/Finding","N/A",,"Super User"
110,"Pulmonary heart diease, unspecified","Pulmonary heart diease, unspecified","Pulmonary heart diease, unspecified
127.9",,,"Symptom/Finding","N/A",,"Super User"
111,"Acute pericarditis","Acute pericarditis","130
Acute pericarditis",,,"Symptom/Finding","N/A",,"Super User"
112,"Acute nonspecific idiopathic pericarditis","Acute nonspecific idiopathic pericarditis","Acute nonspecific idiopathic pericarditis
130.0",,,"Symptom/Finding","N/A",,"Super User"
113,"Infective pericarditis","Infective pericarditis","130.1
Infective pericarditis",,,"Symptom/Finding","N/A",,"Super User"
173,"pending","answer; the state or answer has not been confirmed but is due in the future","pending","no
yes",,"Misc","Boolean","Super User","Super User"
174,"REFERRED","REFERRED","REFERRED",,,"Finding","N/A",,"Super User"
175,"closed","answer; structure in question is closed","closed
sarado","no
yes",,"Misc","Boolean","Super User","Super User"
176,"CHITS Child Care","CHITS Child Care","CHITS Child Care",,,"Misc","N/A",,"Super User"
177,"CHITS Program Workflow","CHITS Program Workflow","CHITS Program Workflow",,,"Misc","N/A",,"Super User"
178,"CHITS Child Care - Registered","CHITS Child Care - Registered","CHITS Child Care - Registered",,,"Misc","N/A",,"Super User"
179,"CHITS Child Care - Must See Physician","CHITS Child Care - Must See Physician","CHITS Child Care - Must See Physician",,,"Misc","N/A",,"Super User"
180,"CHITS Child Care - Record Closed","CHITS Child Care - Record Closed","CHITS Child Care - Record Closed",,,"Misc","N/A",,"Super User"
181,"birth length (cm)","numeric input of the newborn's length in centimeters, from the crown to the caudal aspect of the ankle","birth length (cm)
haba ng sanggol
length of newborn",,,"Question","Numeric","Super User","Super User"
182,"birth weight (kg)","birth weight (kg)","birth weight (kg)",,,"Question","Numeric",,"Super User"
183,"location of delivery","radiobutton list which asks where the delivery took place","location of delivery
lugar ng kapanganakan","home
en route to health facility
hospital, private
hospital, government
clinic, private
other non-coded
clinic, lying-in
unknown
clinic, primary care",,"Question","Coded","null","Super User"
184,"Gestational Age at Birth","Gestational Age at Birth (wk)","Gest. Age at Birth
Gestational Age at Birth",,,"Anatomy","Numeric",,"Super User"
185,"birth order","numeric input of patient's birth order among siblings","birth order",,,"Question","Numeric","Super User","Super User"
186,"Remarks","Remarks","Remarks",,,"Misc","Text",,"Super User"
187,"date of birth registration","date input of the date of birth registration","date of birth registration",,,"Question","Date","Super User","Super User"
188,"Child Care Delivery Information","Child Care Delivery Information","Child Care Delivery Information",,,"ConvSet","N/A",,"Super User"
189,"method of delivery","drop-down list of which method of delivery was used","method of delivery
paraan ng panganganak","normal spontaneous delivery
breech delivery
assisted vaginal delivery
cesarean section
unknown","normal spontaneous delivery
assisted vaginal delivery
breech delivery
cesarean section","Question","Coded","Super User","Super User"
190,"Caesarean Section","Caesarean Section","Caesarean Section",,,"Finding","N/A",,"Super User"
191,"Normal Vaginal Delivery","Normal Vaginal Delivery","Normal Vaginal Delivery",,,"Finding","N/A",,"Super User"
192,"Spontaneous Vaginal Delivery","Spontaneous Vaginal Delivery","Spontaneous Vaginal Delivery",,,"Finding","N/A",,"Super User"
193,"assisted vaginal delivery","assisted vaginal delivery","assisted vaginal delivery
AVD","yes
no",,"Finding","N/A","null","Super User"
194,"Induced Vaginal Delivery","Induced Vaginal Delivery","Induced Vaginal Delivery",,,"Finding","N/A",,"Super User"
195,"Newborn Screening Results","a checkbox list of coded common newborn screening results","Newborn Screening Results","Congenital Galactosemia
Congenital Hypothyroidism
Congenital Adrenal Hyperplasia
Phenylketonuria
G6PD Deficiency","G6PD Deficiency
Congenital Hypothyroidism
Congenital Galactosemia
Phenylketonuria
Congenital Adrenal Hyperplasia","ConvSet","Coded","Super User","Super User"
196,"G6PD Deficiency","answer; checkbox answer to newborn screening results","G6PD Deficiency",,,"Diagnosis","Boolean","Super User","Super User"
197,"Congenital Hypothyroidism","answer; checkbox answer to newborn screening results","Congenital Hypothyroidism",,,"Diagnosis","Boolean","Super User","Super User"
198,"Congenital Galactosemia","answer; checkbox answer to newborn screening results","Congenital Galactosemia",,,"Diagnosis","Boolean","Super User","Super User"
199,"Phenylketonuria","answer; checkbox answer to newborn screening results","Phenylketonuria",,,"Diagnosis","Boolean","Super User","Super User"
200,"Congenital Adrenal Hyperplasia","answer; checkbox answer to newborn screening results","Congenital Adrenal Hyperplasia",,,"Diagnosis","Boolean","Super User","Super User"
201,"Occupation","Occupation","Occupation","Self Employed
Unemployed
Politician
employee","farmer
employee
trader
professional
housework
retired
student
pre-school-aged child
driver
school age but not in school
casual labor
small business owner
vegetable seller
fisherman","Question","Coded","Super User","Super User"
202,"Unemployed","Unemployed","Unemployed",,,"Finding","N/A",,"Super User"
203,"Self Employed","Self Employed","Self Employed",,,"Finding","N/A",,"Super User"
204,"employee","answer; employee","employee
empleyado","no
yes",,"Misc","Boolean","Super User","Super User"
205,"Politician","Politician","Politician",,,"Finding","N/A",,"Super User"
206,"Educational Attainment","Education","Educational Attainment","Doctorate Degree
High School Graduate
Grade School Graduate
Masters Degree
College Graduate",,"Question","Coded",,"Super User"
207,"Grade School Graduate","Grade School Graduate","Grade School Graduate",,,"Finding","N/A",,"Super User"
208,"High School Graduate","High School Graduate","High School Graduate",,,"Finding","N/A",,"Super User"
209,"College Graduate","College Graduate","College Graduate",,,"Finding","N/A",,"Super User"
210,"Masters Degree","Masters Degree","Masters Degree",,,"Finding","N/A",,"Super User"
211,"Doctorate Degree","Doctorate Degree","Doctorate Degree",,,"Finding","N/A",,"Super User"
212,"Child Care Vaccination","Child Care Vaccination Record","Child Care Vaccination",,"BCG (at birth) [EPI]
Hepatitis B 1 (at birth) [EPI]
Hepatitis B 2 (6 wks) [EPI]
Hepatitis B 3 (14 wks) [EPI]
DPT 1 (6 wks) [EPI]
DPT 2 (10 wks) [EPI]
DPT 3 (14 wks) [EPI]
OPV 1 (6 wks) [EPI]
OPV 2 (10 wks) [EPI]
OPV 3 (14 wks) [EPI]
Measles (9 mos) [EPI]
Other Antigens Given","ConvSet","N/A","Super User","Super User"
213,"Date Administered","Date Administered","Date Administered",,,"Misc","Date",,"Super User"
214,"Antigen","a free text input of the specific antigen given, which is not part of EPI","Antigen",,,"Question","Text","Super User","Super User"
215,"Health Facility","a coded input of existing health facilities","Health Facility","Kapansanan
Private Health Facility
Other Government Facility","Other Government Facility
Private Health Facility","Question","Coded","Super User","Super User"
216,"Hepatitis B (in 24hrs) [EPI]","Hepatitis B (in 24hrs) [EPI]","Hepatitis B (in 24hrs) [EPI]",,,"Drug","Coded","Super User","Super User"
217,"Hepatitis B (6wks) [EPI]","Hepatitis B (6wks) [EPI]","Hepatitis B (6wks) [EPI]",,,"Drug","Coded","Super User","Super User"
218,"Hepatitis B (14wks) [EPI]","Hepatitis B (14wks) [EPI]","Hepatitis B (14wks) [EPI]",,,"Drug","Coded","Super User","Super User"
219,"DPT 1 (in 24hrs) [EPI]","DPT 1 (in 24hrs) [EPI]","DPT 1 (in 24hrs) [EPI]",,,"Drug","Coded","Super User","Super User"
220,"DPT 2 (6wks) [EPI]","DPT 2 (6wks) [EPI]","DPT 2 (6wks) [EPI]",,,"Drug","Coded","Super User","Super User"
221,"DPT 3 (14wks) [EPI]","DPT 3 (14wks) [EPI]","DPT 3 (14wks) [EPI]",,,"Drug","Coded","Super User","Super User"
222,"OPV1 (6wks) [EPI]","OPV1 (6wks) [EPI]","OPV1 (6wks) [EPI]",,,"Drug","Coded","Super User","Super User"
223,"OPV2 (10wks) [EPI]","OPV2 (10wks) [EPI]","OPV2 (10wks) [EPI]",,,"Drug","Coded","Super User","Super User"
224,"OPV1 (14wks) [EPI]","OPV1 (14wks) [EPI]","OPV1 (14wks) [EPI]",,,"Drug","Coded","Super User","Super User"
225,"Measles (9mos) [EPI]","Measles (9mos) [EPI]","Measles (9mos) [EPI]",,,"Drug","Coded","Super User","Super User"
226,"Others","OTHERS","Others",,,"Finding","N/A","null","Super User"
227,"Kapansanan","Kapansanan","Kapansanan",,,"Finding","N/A",,"Super User"
228,"Other Government","Other Government","Other Government",,,"Finding","N/A",,"Super User"
229,"Private","Private","Private",,,"Finding","N/A",,"Super User"
230,"Dosage","Dosage in free-text form","Dosage
Dosage Free Text",,,"Misc","Text",,"Super User"
231,"Child Care Service Type","Child Care Service Type","Child Care Service Type","Dental Service
Deworming
Ferrous Sulfate
Vitamin A Supplementation",,"Question","Coded",,"Super User"
232,"Vitamin A Supplementation","Vitamin A Supplementation","Vitamin A Supplementation",,,"Finding","N/A",,"Super User"
233,"Deworming","Deworming","Deworming",,,"Finding","N/A",,"Super User"
234,"Ferrous Sulfate","Ferrous Sulfate","Ferrous Sulfate",,,"Finding","N/A",,"Super User"
235,"Dental Service","Dental Service","Dental Service",,,"Finding","N/A",,"Super User"
236,"Newborn Breast Feeding Information","Newborn Breast Feeding Information","Newborn Breast Feeding Information","M6
M5
M4
M3
M2
M1",,"Question","Coded",,"Super User"
237,"M1","Month 1","M1",,,"Finding","N/A",,"Super User"
238,"M2","Month 2","M2",,,"Finding","N/A",,"Super User"
239,"M3","Month 3","M3",,,"Finding","N/A",,"Super User"
240,"M4","Month 4","M4",,,"Finding","N/A",,"Super User"
241,"M5","Month 5","M5",,,"Finding","N/A",,"Super User"
242,"M6","Month 6","M6",,,"Finding","N/A",,"Super User"
278,"Newborn Screening Information","Newborn Screening Information","Newborn Screening Information",,,"Question","Coded",,"Super User"
279,"Newborn Screening Report Date","Newborn Screening Report Date","Newborn Screening Report Date",,,"Misc","Date",,"Super User"
280,"Newborn Screening Date","Newborn Screening Date","Newborn Screening Date",,,"Misc","Date",,"Super User"
281,"Newborn Screening Action","Newborn Screening Action","Newborn Screening Action","REFERRED
pending
closed",,"Question","Coded",,"Super User"
282,"General Answers","data set containing answers otherwise unclassified","General Answers",,"yes
no
negative
positive
two plus
present
absent
normal
abnormal
unremarkable
remarkable
empty
full
increased
decreased
open
closed
unknown
other non-coded
other non-coded, text
none
dropped
pending
minimal
moderate
severe
intact
not intact
seconds
minutes
hours
good
fair
poor
one plus","ConvSet","N/A","Super User","Super User"
283,"negative","answer; the symptom/sign/finding/state is absent in the patient","neg
(-)
negative
-","no
yes",,"Misc","Boolean","Super User","Super User"
284,"positive","answer; the symptom/sign/finding/state is present in the patient","+
positive
pos
(+)","no
yes",,"Misc","Boolean","null","Super User"
285,"two plus","answer; when the finding or result in question is positive to a higher degree than one plus (in a scale)","(++)
two plus
moderately positive
++","yes
no",,"Misc","Boolean","Super User","Super User"
286,"present","answer; the sign/symptom is present","meron
present","yes
no",,"Misc","Boolean","Super User","Super User"
287,"absent","answer; the sign or symptom is absent","absent","yes
no",,"Misc","Boolean","null","Super User"
288,"normal","answer; parameters in question are within the normal or acceptable range","normal","no
yes",,"Misc","Boolean","Super User","Super User"
289,"abnormal","answer; parameters in question are beyond the normal or acceptable range","abnormal
hindi normal","no
yes",,"Misc","Boolean","Super User","Super User"
290,"unremarkable","answer; characteristics elicited during examination are within normal","unremarkable","yes
no",,"Misc","Boolean","Super User","Super User"
291,"remarkable","answer; characteristics elicited during examination are not normal, or deviate from the usual","remarkable","yes
no",,"Misc","Boolean","Super User","Super User"
292,"empty","answer; structure in question is empty","walang laman
empty","no
yes",,"Misc","Boolean","Super User","Super User"
293,"full","answer; structure in question is full","puno
full","no
yes",,"Misc","Boolean","Super User","Super User"
294,"increased","answer; value of parameter in question is above the acceptable range","dumami
increased","no
yes",,"Misc","Boolean","Super User","Super User"
295,"decreased","answer; value of parameter in question is below the acceptable range","kumonti
decreased","no
yes",,"Misc","Boolean","Super User","Super User"
296,"open","answer; structure in question is open","open
bukas","no
yes",,"Misc","Boolean","Super User","Super User"
297,"unknown","Unknown","unknown
hindi alam","yes
no",,"Finding","N/A","null","Super User"
298,"none","answer; none","none
wala","no
yes",,"Misc","Boolean","null","Super User"
299,"other non-coded","answer; answer otherwise not included in the coded choices","other non-coded","no
yes",,"Misc","Boolean","null","Super User"
300,"other non-coded, text","free text input of an answer to a coded question if the answer is not included in the coded choices","iba pa
other non-coded, text",,,"Misc","Text","null","Super User"
301,"tour of duty details","data set containing details on the tour of duty","tour of duty details",,"current date
current time
name of institution
physician on duty
midwife on duty","ConvSet","N/A","Super User","Super User"
302,"current date","date input of date when form was accomplished, estimates date of patient's admission (if applicable)","petsa
date
current date",,,"Question","Date","Super User","Super User"
303,"current time","time input of time when form was accomplished, estimates time of patient's admission (if applicable)","oras
current time",,,"Question","Time","Super User","Super User"
304,"name of institution","free text input of the name of the institution where the patient is admitted and the form is being accomplished","hospital name
name of institution
lying-in clinic name
pangalan ng ospital
pangalan ng institusyon
clinic name",,,"Question","Text","Super User","Super User"
305,"physician on duty","free text input of the name of the physician on duty during the patient's admission","pangalan ng manggagamot
resident on duty
pangalan ng duktor
doctor on duty
physician on duty
pangalan ng residente",,,"Question","Text","Super User","Super User"
306,"midwife on duty","free text input of the name of the midwife on duty during the patient's admission","midwife on duty
pangalan ng midwife
pangalan ng kumadrona",,,"Question","Text","Super User","Super User"
307,"present working impression, text","free text input of clinical impression during time of data entry","present working impression, text",,,"Question","Text","Super User","Super User"
308,"final diagnosis, icd10","free text input of final clinical impression found in ICD10","final diagnosis, icd10",,,"Question","Text",,"Super User"
309,"final diagnosis, text","free text input of final clinical impression before discharge from institution","final diagnosis, text",,,"Question","Text",,"Super User"
310,"problem list","free text input of list of problems encountered during the time of data entry","listahan ng problema
problem list
problem note",,,"Question","Text","Super User","Super User"
311,"Management","data set containing concepts on management and plan","Management",,"prescription, PNDF
prescription instructions
medical officer's notes
treatment given
recommendations for further care
date of follow-up visit
location of follow-up visit
notes on preventive care","ConvSet","N/A","Super User","Super User"
312,"prescription, PNDF","free text input of drugs from PNDF","prescription, PNDF",,,"Question","Text",,"Super User"
